id,PBE+MBD(eV),MACE-OFF23(L)(eV)
69e388145f98293,-195072.100583159,-195102.72270195046
617c1a749858631,-195072.099749617,-195103.6985652044
a4984454b38de53,-195072.067468409,-195103.60735139408
98dd69d49471629,-195072.001598947,-195103.9353402857
a704035ebb9fa9f,-195071.989872939,-195103.93514551758
96dbbd7e638e054,-195071.961658967,-195103.45743227846
6eb8a6684aa1070,-195071.935211996,-195103.81683336172
1684ceb09245d8d,-195071.930089719,-195103.86110685163
a186550aadbf831,-195071.921640536,-195102.9049245568
84e591e7f8288ed,-195071.904354829,-195102.73658352336
6043ce0865b717d,-195071.811580333,-195103.62120113536
1cd1cbce0a5a57,-195071.798533402,-195103.50519193875
6abce2d4295a496,-195071.70133059,-195102.92150850507
a65567c21568b1e,-195071.696278333,-195103.2282739872
bdf5a215e75f572,-195071.532598892,-195103.08565458815
8e8375e179b557c,-195071.446122054,-195103.7650123377
222282e74daaebf,-195071.392211355,-195103.64508598798
aee7836ca3af69d,-195071.378526201,-195103.930106346
1a3445915a1dbc7,-195071.286307236,-195102.83703011877
574697937c603f7,-195071.272714217,-195103.12134089976
6f4f5cc694c646a,-195071.250831433,-195102.45948358285
1555cb8db560763,-195071.218767492,-195104.01946020665
974fe7f12b95efc,-195071.100904155,-195103.12157693005
c2ce6f47ed4d57b,-195070.70121664,-195102.80533048365
